0,b,11011001100
16,0,10011101100
17,1,10011100110
18,2,11001110010
19,3,11001011100
20,4,11001001110
21,5,11011100100
22,6,11001110100
23,7,11101101110
24,8,11101001100
25,9,11100101100
33,A,10100011000
34,B,10001011000
35,C,10001000110
36,D,10110001000
37,E,10001101000
38,F,10001100010
39,G,11010001000
40,H,11000101000
41,I,11000100010
42,J,10110111000
43,K,10110001110
44,L,10001101110
45,M,10111011000
46,N,10111000110
47,O,10001110110
48,P,11101110110
49,Q,11010001110
50,R,11000101110
51,S,11011101000
52,T,11011100010
53,U,11011101110
54,V,11101011000
55,W,11101000110
56,X,11100010110
57,Y,11101101000
58,Z,11101100010
104,#,11010010000
106,$,11000111010
